url,doc_id,title,customer_role,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77251?seo=1,shopee-return-refund-policy,Chính sách trả hàng và hoàn tiền,both,returns-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/188931,shopee-general-return-refund-rules,Những quy định chung về trả hàng và hoàn tiền,buyer,returns-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79233?seo=1,shopee-submit-return-refund-request,Hướng dẫn gửi yêu cầu trả hàng và hoàn tiền,buyer,after-sales-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/190242,shopee-review-return-refund-request,Quy trình Shopee xử lý yêu cầu trả hàng và hoàn tiền,buyer,return-dispute,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79298,shopee-track-return-refund-status,Theo dõi tình trạng trả hàng và hoàn tiền trên Shopee,buyer,after-sales-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/189477,shopee-return-shipping-methods-fees,Các phương thức gửi hàng hoàn trả và phí hoàn trả,buyer,return-logistics,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/189473,shopee-refund-time-status,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,buyer,refund-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/189476,shopee-track-return-shipment,Cách theo dõi tình trạng vận chuyển hàng hoàn trả,buyer,return-logistics,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/77262,shopee-mall-return-refund-terms,Điều khoản dịch vụ Shopee Mall về trả hàng và hoàn tiền,both,returns-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/1/article/102521,shopee-seller-manage-return-refund,Quản lý đơn trả hàng hoàn tiền,seller,after-sales-process,vi,not-stated,public-page
